id_turma,formato,curso,carga_horaria,municipio,tipo_unidade,modalidade,executora,vagas_disponiveis,data_inicio,status,ra_executora,ra_unidade
Turma-02544,Presencial,Operador de Caixa,60,Pindamonhangaba,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02543,Presencial,Culinária Básica,60,Francisco Morato,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02542,Presencial,Pizzaiolo*,80,Francisco Morato,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02541,Presencial,Assistente Administrativo,60,Cajamar,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02540,Presencial,Assistente de Cabeleireiro,80,Francisco Morato,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-07-14 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02539,Presencial,Manicure e pedicure,80,Francisco Morato,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-07-14 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02538,Presencial,Operador de Caixa,60,Andradina,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Araçatuba
Turma-02537,Presencial,Recepção e Atendimento,60,Andradina,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Araçatuba
Turma-02536,Presencial,Porteiro e Controlador de Acesso,60,Caçapava,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02535,Presencial,Tratorista,80,Caçapava,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02534,Presencial,TÉCNICAS DE VENDAS,60,Ferraz de Vasconcelos,Unidade de Ensino,MEU PRIMEIRO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02533,Presencial,Auxiliar de Logística,60,Getulina,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Bauru
Turma-02532,Presencial,Salgadeiro,60,Ferraz de Vasconcelos,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02531,Presencial,Ajudante de Cozinha,60,Areias,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02530,Presencial,Panificação,60,Areias,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02529,Presencial,Auxiliar de Logística,60,Birigui,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Araçatuba
Turma-02528,Presencial,ASSISTENTE ADMINISTRATIVO,60,Votorantim,Unidade de Ensino,MEU PRIMEIRO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02527,Presencial,ASSISTENTE ADMINISTRATIVO,60,Teodoro Sampaio,Unidade de Ensino,MEU PRIMEIRO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Presidente Prudente
Turma-02526,Presencial,AUXILIAR DE LOGÍSTICA,60,Teodoro Sampaio,Unidade de Ensino,MEU PRIMEIRO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Presidente Prudente
Turma-02525,Presencial,Panificação,60,São Vicente,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Santos
Turma-02524,Presencial,Técnicas de Vendas,60,Santa Isabel,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02523,Presencial,Culinária Básica,60,Jacareí,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02522,Presencial,Confeitaria,60,Jacareí,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02521,Presencial,Mecânica Automotiva - Básico ,80,Caraguatatuba,Unidade de Ensino,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02520,Presencial,Porteiro e Controlador de Acesso,60,Elias Fausto,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Campinas
Turma-02519,Presencial,Confeitaria,60,Atibaia,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Campinas
Turma-02518,Presencial,Culinária Básica,60,Atibaia,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 16:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Campinas
Turma-02516,Presencial,Espanhol para Recepção de Visitantes,80,Ilhabela,Unidade de Ensino,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02515,Presencial,ATENDENTE DE FARMÁCIA,80,Ipaussu,Unidade de Ensino,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Marília
Turma-02514,Presencial,ASSISTENTE ADMINSTRATIVO com inclusão digital,80,Ilhabela,Unidade de Ensino,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02513,Presencial,ATENDENTE DE FARMÁCIA,80,Barretos,Unidade de Ensino,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Barretos
Turma-02512,Presencial,ATENDENTE DE FARMÁCIA,80,Santa Isabel,Unidade de Ensino,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02511,Presencial,Informática Básica com inclusão digital,80,Mongaguá,Unidade de Ensino,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Santos
Turma-02510,Presencial,Inglês para Recepção de Visitantes,80,Mongaguá,Unidade de Ensino,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Santos
Turma-02509,Presencial,Cuidador de Idosos com inclusão digital,80,Lagoinha,Unidade de Ensino,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02508,Presencial,Elétrica Residencial Básica,80,Cotia,Unidade de Ensino,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02507,Presencial,GESTÃO DE PEQUENOS NEGÓCIOS,60,Itaquaquecetuba,Unidade de Ensino,MEU PRIMEIRO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02506,Presencial,ASSISTENTE DE RECURSOS HUMANOS,60,Itaquaquecetuba,Unidade de Ensino,MEU PRIMEIRO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02505,Presencial,ASSISTENTE ADMINISTRATIVO,60,Lagoinha,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02504,Presencial,ASSISTENTE ADMINISTRATIVO,60,Carapicuíba,Unidade de Ensino,MEU PRIMEIRO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02502,Presencial,Porteiro e Controlador de Acesso,60,Sorocaba,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02501,Presencial,Auxiliar de Logística,60,Sorocaba,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02500,Presencial,Recepção e Atendimento,60,São Sebastião,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02499,Presencial,Recepção e Atendimento,60,Queluz,,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02498,Presencial,Porteiro e Controlador de Acesso,60,Praia Grande,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Santos
Turma-02497,Presencial,Auxiliar de Logística,60,Praia Grande,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Santos
Turma-02496,Presencial,Auxiliar de Logística,60,Mauá,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02495,Presencial,Porteiro e Controlador de Acesso,60,Mauá,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02494,Presencial,Operador de Caixa,60,Jundiaí,,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Campinas
Turma-02492,Presencial,Porteiro e Controlador de Acesso,60,Itaquaquecetuba,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02489,Presencial,Ajudante de Cozinha,60,Itapetininga,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,202,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02488,Presencial,Recepção e Atendimento,60,Itapetininga,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02486,Presencial,Ajudante de Cozinha,60,Ibiúna,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02484,Presencial,"Assistente Contábil, de Crédito e Cobrança",60,Getulina,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Bauru
Turma-02483,Presencial,Auxiliar de Logística,60,Ferraz de Vasconcelos,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02482,Presencial,Culinária Básica,60,Cajobi,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Barretos
Turma-02481,Presencial,Porteiro e Controlador de Acesso,60,Cajamar,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02479,Presencial,Gestão de Pequena Propriedade Rural*,60,Birigui,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Araçatuba
Turma-02478,Presencial,Assistente Administrativo,60,Avaré,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02477,Presencial,Chocolateria*,60,Araçariguama,,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02476,Presencial,Auxiliar de Logística,60,Araçariguama,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02475,Presencial,Assistente Administrativo,60,Aguaí,,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Campinas
Turma-02474,Presencial,Auxiliar Financeiro,80,Queluz,Unidade de Ensino,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02473,Presencial,TÉCNICAS DE VENDAS,80,Peruíbe,,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-23 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Santos
Turma-02472,Presencial,Rotinas Básicas de Garçom com inclusão digital,80,Votorantim,Unidade de Ensino,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-23 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02471,Presencial,Marketing Digital na Prática,80,Tremembé,Unidade de Ensino,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-23 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02470,Presencial,Marketing Digital na Prática,80,Registro,Unidade de Ensino,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-23 19:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Registro
Turma-02469,Presencial,Rotinas Básicas de Garçom com inclusão digital,80,Itapetininga,Unidade de Ensino,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-23 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02468,Presencial,Marketing Digital na Prática,80,Itapevi,Unidade de Ensino,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-23 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02467,Presencial,EXCEL PARA EMPRESAS,80,Itatinga,Unidade de Ensino,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Sorocaba
Turma-02466,Presencial,Rotinas Básicas de Garçom com inclusão digital,80,Espírito Santo do Pinhal,Unidade de Ensino,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-23 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Campinas
Turma-02465,Presencial,ASSISTENTE DE RECURSOS HUMANOS,80,Elias Fausto,Unidade de Ensino,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-23 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Campinas
Turma-02464,Presencial,Marketing Digital na Prática,80,Cotia,Unidade de Ensino,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-23 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02463,Presencial,Marketing Digital na Prática,80,Barretos,Unidade de Ensino,MEU PRIMEIRO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,20,2025-06-23 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Barretos
Turma-02462,Online,Gestão de Projetos de TI,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 19:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02461,Online,Gestão de Projetos de TI,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 13:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02460,Online,Gestão de Projetos de TI,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 08:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02459,Online,Arquitetura de Sistemas,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 19:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02458,Online,Arquitetura de Sistemas,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 13:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02457,Online,Arquitetura de Sistemas,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 08:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02456,Online,Sistemas Operacionais,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 19:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02455,Online,Sistemas Operacionais,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 13:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02454,Online,Sistemas Operacionais,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 08:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02453,Online,Programação Mobile,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 19:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02452,Online,Programação Mobile,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 13:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02451,Online,Programação Mobile,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 08:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02450,Online,Aplicação de Banco de Dados,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 19:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02449,Online,Aplicação de Banco de Dados,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 13:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02448,Online,Aplicação de Banco de Dados,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 08:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02447,Online,Programação Orientada a Objetos,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 19:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02446,Online,Programação Orientada a Objetos,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 13:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02445,Online,Programação Orientada a Objetos,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 08:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02444,Online,Programação WEB,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 19:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02443,Online,Programação WEB,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 13:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
Turma-02442,Online,Programação WEB,120,,,NOVO EMPREGO,FAT - FUNDAÇÃO DE APOIO A TECNOLOGIA,40,2025-06-23 08:30:00,Aberta para Inscrições,Região Metropolitana de São Paulo,
